1 3:0.995390 4:-0.058890 5:0.852430 6:0.023060 7:0.833980 9:1.000000 12:-0.177550 13:0.597550 15:0.605360 16:-0.382230 17:0.843560 22:-0.296740 25:0.568110 26:-0.511710 27:0.410780 28:-0.461680 29:0.212660 31:0.422670 33:0.186410 34:-0.453000 
-1 3:1.000000 4:-0.188290 5:0.930350 6:-0.361560 7:-0.108680 9:1.000000 12:-0.677430 13:0.344320 15:-0.516850 16:-0.975150 17:0.054990 22:-0.453000 25:-0.203320 26:-0.265690 27:-0.204680 28:-0.184010 29:-0.190400 31:-0.166260 33:-0.137380 34:-0.024470 
1 3:1.000000 4:-0.033650 5:1.000000 6:0.004850 7:1.000000 9:0.889650 12:0.053460 13:0.854430 15:0.545910 16:0.002990 17:0.837750 22:-0.275020 25:0.575280 26:-0.402200 27:0.589840 28:-0.221450 29:0.431000 31:0.604360 33:0.560450 34:-0.382380 
-1 3:1.000000 4:-0.451610 5:1.000000 6:1.000000 7:0.712160 9:0.000000 12:0.000000 13:0.000000 15:-1.000000 16:0.145160 17:0.540940 22:1.000000 25:1.000000 26:0.906950 27:0.516130 28:1.000000 29:1.000000 31:0.256820 33:-0.323820 34:1.000000 
1 3:1.000000 4:-0.024010 5:0.941400 6:0.065310 7:0.921060 9:0.771520 12:-0.202750 13:0.564090 15:0.343950 16:-0.274570 17:0.529400 22:-0.355750 25:0.032860 26:-0.651580 27:0.132900 28:-0.532060 29:0.024310 31:-0.057070 33:-0.046080 34:-0.656970 
-1 3:0.023370 4:-0.005920 5:-0.099240 6:-0.119490 7:-0.007630 9:0.147060 12:-0.063020 13:0.000000 15:-0.045720 16:-0.155400 17:-0.003430 22:0.036690 25:0.035130 26:-0.015350 27:-0.032400 28:0.092230 29:-0.078590 31:0.000000 33:-0.000390 34:0.120110 
1 3:0.975880 4:-0.106020 5:0.946010 6:-0.208000 7:0.928060 9:0.859960 12:-0.479290 13:0.782250 15:0.746280 16:-0.614360 17:0.579450 22:-0.765620 25:0.227920 26:-0.816340 27:0.136590 28:-0.825100 29:0.046060 31:-0.042620 33:-0.138320 34:-0.809750 
-1 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:1.000000 9:0.000000 12:-1.000000 13:0.000000 15:0.000000 16:0.000000 17:1.000000 22:0.000000 25:1.000000 26:1.000000 27:1.000000 28:1.000000 29:0.000000 31:1.000000 33:0.000000 34:0.000000 
1 3:0.963550 4:-0.071980 5:1.000000 6:-0.143330 7:1.000000 9:1.000000 12:-0.435690 13:0.945100 15:0.903920 16:-0.463810 17:0.983050 22:-0.605890 25:0.851060 26:-0.654400 27:0.575770 28:-0.697120 29:0.254350 31:0.451140 33:0.388950 34:-0.734200 
-1 3:-0.018640 4:-0.084590 5:0.000000 6:0.000000 7:0.000000 9:0.114700 12:-0.381720 13:0.000000 15:-0.336560 16:0.386020 17:-0.371330 22:0.000000 25:-0.148030 26:-0.013260 27:0.206450 28:-0.022940 29:0.000000 31:0.165950 33:-0.082080 34:0.380650 
1 3:1.000000 4:0.066550 5:1.000000 6:-0.183880 7:1.000000 9:1.000000 12:-0.413490 13:0.962320 15:0.907110 16:-0.590170 17:0.892300 22:-0.763200 25:0.558670 26:-0.891280 27:0.472110 28:-0.865000 29:0.403030 31:0.309960 33:0.229950 34:-0.891580 
-1 3:1.000000 4:-0.542100 5:1.000000 6:-1.000000 7:1.000000 9:1.000000 12:-0.411190 13:1.000000 15:1.000000 16:-1.000000 17:1.000000 22:1.000000 25:1.000000 26:-0.408880 27:1.000000 28:-0.627450 29:1.000000 31:1.000000 33:1.000000 34:-1.000000 
1 3:1.000000 4:-0.163160 5:1.000000 6:-0.101690 7:0.999990 9:1.000000 12:-0.351510 13:0.957350 15:0.937190 16:-0.344120 17:0.944860 22:-0.473080 25:0.840800 26:-0.471370 27:0.762240 28:-0.583700 29:0.657230 31:0.687140 33:0.647270 34:-0.672260 
-1 3:1.000000 4:-0.867010 5:1.000000 6:0.222800 7:0.854920 9:1.000000 12:0.351470 13:1.000000 15:1.000000 16:-0.147670 17:1.000000 22:0.158030 25:1.000000 26:-0.170120 27:1.000000 28:0.359240 29:1.000000 31:1.000000 33:1.000000 34:-0.188260 
1 3:1.000000 4:0.073800 5:1.000000 6:0.034200 7:1.000000 9:1.000000 12:0.196510 13:1.000000 15:1.000000 16:0.127850 17:1.000000 22:0.447580 25:1.000000 26:0.200330 27:1.000000 28:0.367430 29:0.956030 31:1.000000 33:1.000000 34:0.467120 
