-1 1:8589.416300 3:4263.407500 4:4064.935700 5:1997.892900 6:5282.325000 7:2169.720000 8:2773.421200 9:7526.386200 10:4607.676200 11:2598.060000 12:1522.646200 13:1300.598800 14:1181.630000 15:2417.958300 16:3139.400000 17:2473.261300 18:1306.903800 19:1285.602500 20:1900.361300 21:3504.213800 22:2428.052500 23:5150.013700 25:1806.475000 26:3192.413100 28:1135.823800 30:1567.236300 32:1582.035000 33:2854.987500 34:2513.335000 35:930.071250 36:3166.580000 38:2018.355000 39:2065.594600 40:2065.594600 41:2065.594600 42:2065.594600 43:1926.396200 44:2701.363700 47:1703.055000 55:1528.790500 59:3684.620800 66:976.266250 70:622.895000 87:1134.617900 95:343.467500 96:1069.919000 100:1224.385000 101:1449.307500 104:1830.886200 106:1945.347500 110:1115.541300 111:1388.060000 113:611.890000 115:389.996430 118:366.685000 119:2236.788800 120:758.410710 143:492.102500 145:686.673750 159:811.610710 164:397.515000 165:942.737500 167:3125.161100 171:425.530000 175:977.555000 181:711.368750 187:747.508750 206:1060.013800 245:475.278850 249:552.658750 251:672.084210 267:471.167310 269:381.496250 286:675.916250 304:387.793750 306:2294.936200 326:380.382810 353:609.838640 357:2422.342500 384:2027.146300 415:884.425000 485:862.616250 506:511.055000 511:1050.687500 516:599.666670 566:155.451250 653:307.523750 661:2817.286200 684:409.542500 798:863.195000 806:199.827500 822:560.583750 839:312.898750 1272:194.665480 1325:662.065000 1378:392.973750 1387:838.337500 1411:182.662500 1727:1253.325000 1791:1041.230000 
1 1:9164.253700 3:4883.448700 4:3718.158900 5:2015.221400 6:5569.907100 7:3849.058800 8:2793.387500 9:7017.733800 10:4802.252400 11:1672.975000 12:1792.176900 13:3792.542500 14:3630.382500 15:1906.213100 16:5745.395800 17:1919.446200 18:2036.283800 19:2253.362500 20:2490.873700 21:3759.585000 22:4268.918700 23:4166.191200 25:2699.284400 26:2796.083300 28:1459.102500 30:1156.956300 32:3218.321200 33:3855.533800 34:3097.453800 35:1667.542500 36:2779.303800 38:2430.878800 39:2814.280100 40:2814.280100 41:2814.280100 42:2814.280100 43:1288.305000 44:4866.308800 47:1573.866200 55:2893.842900 59:3002.400000 66:1933.586300 70:2439.477500 87:1413.435700 95:423.621250 96:1073.915500 100:1194.477500 101:2252.626300 104:2453.370000 106:2232.386200 110:1449.740000 111:3973.023800 113:1333.730000 115:1182.106000 118:664.606250 119:1398.866200 120:1599.650000 143:410.138750 145:1842.506200 159:2218.110700 164:693.290000 165:1392.046400 167:1733.361100 171:1064.781200 175:977.143750 181:1650.222500 187:627.650000 206:1014.413800 245:1648.459600 249:2314.948800 251:676.609210 267:1712.209600 269:1473.045000 286:2337.748700 304:705.411250 306:837.208750 326:820.543750 353:616.738640 357:1080.970000 384:1652.937500 415:3510.470000 485:2135.035000 506:767.336250 511:982.015620 516:233.522620 566:505.006250 653:886.798750 661:2208.488800 684:585.651250 798:948.222500 806:883.182500 822:4421.815000 839:1324.483800 1272:470.480950 1325:755.996250 1378:1159.112500 1387:2367.350000 1411:1095.132500 1727:1681.409100 1791:3623.010000 
-1 1:3825.705000 3:5369.968800 4:4705.650000 5:1166.553600 6:1572.167900 7:1325.402500 8:1472.258700 9:3296.951200 10:2786.582100 11:2441.418800 12:1487.671200 13:1315.853800 14:855.455000 15:802.304760 16:3251.108300 17:781.995000 18:1618.650000 19:1066.838700 20:1006.211200 21:1436.785000 22:658.878750 23:1924.791300 25:1155.943800 26:1444.096400 28:734.528750 30:704.117500 32:807.393750 33:2138.872500 34:1734.115000 35:905.620000 36:1378.120000 38:1880.187500 39:1389.630300 40:1389.630300 41:1389.630300 42:1389.630300 43:535.726250 44:2106.655000 47:685.003750 55:933.438100 59:565.650000 66:415.311250 70:869.957500 87:1428.503600 95:236.002500 96:796.254760 100:296.588750 101:390.557500 104:300.528750 106:1000.216200 110:1285.716200 111:1412.805000 113:338.361250 115:223.189290 118:774.602500 119:9984.598700 120:2008.800000 143:1660.736200 145:154.365000 159:601.492860 164:850.106250 165:140.933930 167:8848.480600 171:378.418750 175:783.718750 181:375.985000 187:326.656250 206:1032.906200 245:209.219230 249:137.971250 251:103.271050 267:196.436540 269:133.393750 286:93.695000 304:170.531250 306:18156.735000 326:95.615625 353:570.588640 357:10119.091000 384:658.390000 415:1299.718800 485:89.375000 506:915.695000 511:314.975000 516:129.004760 566:54.347500 653:448.788750 661:1434.338700 684:260.778750 798:37.836250 806:772.362500 822:442.392500 839:35.291250 1272:476.350000 1325:59.576250 1378:16.913750 1387:67.476250 1411:89.630000 1727:364.884090 1791:1112.505000 
1 1:6246.448700 3:5955.835000 4:3975.564300 5:2002.613100 6:2130.542900 7:1531.142500 8:1714.631200 9:3869.785000 10:4989.407100 11:1723.580000 12:1298.725000 13:1309.347500 14:1789.670000 15:1587.791700 16:3496.145800 17:1226.297500 18:1597.281200 19:1144.691200 20:1139.627500 21:2662.097500 22:2636.156200 23:3134.747500 25:1186.893800 26:2342.382100 28:1133.237500 30:835.386250 32:3034.571200 33:4699.395000 34:3312.481200 35:854.428750 36:1880.540000 38:3124.248700 39:2456.093100 40:2456.093100 41:2456.093100 42:2456.093100 43:901.290000 44:4344.305000 47:1425.287500 55:2144.331000 59:1092.154200 66:438.516250 70:1866.065000 87:1753.314300 95:387.528750 96:824.519050 100:460.821250 101:1629.801300 104:1373.097500 106:1455.160000 110:1635.041200 111:2265.726200 113:483.052500 115:259.789290 118:373.880000 119:8535.355000 120:1282.757100 143:495.843750 145:475.793750 159:672.671430 164:375.185000 165:383.187500 167:5932.872200 171:386.397500 175:1007.008700 181:826.182500 187:388.571250 206:634.916250 245:576.640380 249:987.798750 251:252.734210 267:597.738460 269:716.803750 286:1587.831300 304:302.510000 306:2546.415000 326:175.365630 353:579.443180 357:5894.030000 384:1381.492500 415:2029.475000 485:100.457500 506:952.496250 511:549.710940 516:123.744050 566:182.171250 653:705.191250 661:2012.363800 684:1120.468800 798:508.413750 806:355.811250 822:1325.392500 839:979.727500 1272:452.727380 1325:416.488750 1378:330.473750 1387:553.720000 1411:20.901250 1727:557.945450 1791:1846.448800 
-1 1:3230.328700 3:3400.740000 4:3463.585700 5:2181.420200 6:2922.782100 7:2069.246300 8:2948.575000 9:3303.371200 10:3109.413100 11:2724.266200 12:2557.784600 13:3164.696200 14:2285.308800 15:2576.748800 16:3056.725000 17:1391.590000 18:2162.553700 19:1540.250000 20:2705.675000 21:1271.718700 22:4439.891300 23:2030.673800 25:2150.121900 26:3350.502400 28:1903.582500 30:1368.817500 32:1073.410000 33:1207.416200 34:1201.768700 35:1733.823800 36:621.650000 38:719.452500 39:967.357620 40:967.357620 41:967.357620 42:967.357620 43:2451.591200 44:1477.365000 47:1900.930000 55:814.496430 59:399.983330 66:817.341250 70:639.392500 87:755.882140 95:823.930000 96:840.123810 100:1020.486300 101:967.105000 104:1919.092500 106:923.232500 110:1004.802500 111:1228.725000 113:1269.738800 115:392.021430 118:686.121250 119:3118.787500 120:843.817860 143:290.511250 145:960.845000 159:1439.628600 164:746.410000 165:1101.726800 167:2598.066700 171:882.263750 175:434.328750 181:445.191250 187:2973.810000 206:442.803750 245:464.309620 249:584.732500 251:1206.517100 267:434.200000 269:340.683750 286:835.637500 304:305.965000 306:2813.905000 326:1005.396900 353:294.838640 357:2740.046200 384:1780.676200 415:423.888750 485:647.487500 506:283.838750 511:233.331250 516:719.377380 566:420.798750 653:489.096250 661:621.433750 684:203.310000 798:740.791250 806:153.030000 822:340.535000 839:1183.381200 1272:157.285710 1325:340.588750 1378:1012.135000 1387:132.505000 1411:126.880000 1727:1434.904500 1791:848.931250 
1 1:2510.325000 3:1566.315000 4:3072.816100 5:1810.204800 6:1673.564300 7:1290.421200 8:2465.846200 9:1675.543800 10:1312.808300 11:2289.035000 12:2162.286500 13:2070.077500 14:3466.791200 15:2137.417900 16:2716.379200 17:1497.158800 18:1586.243800 19:962.010000 20:1214.767500 21:904.722500 22:3970.422500 23:906.596250 25:1950.390600 26:1788.146400 28:1639.147500 30:1454.762500 32:916.712500 33:576.783750 34:745.340000 35:994.612500 36:540.468750 38:422.656250 39:1374.155400 40:1374.155400 41:1374.155400 42:1374.155400 43:1022.653800 44:1754.693800 47:1497.585000 55:690.248810 59:500.475000 66:1815.515000 70:480.447500 87:451.914290 95:607.718750 96:682.890480 100:300.107500 101:401.696250 104:2009.352500 106:515.945000 110:724.753750 111:1558.407500 113:878.496250 115:457.169050 118:749.961250 119:2331.927500 120:593.278570 143:614.782500 145:604.200000 159:804.725000 164:640.848750 165:704.314290 167:2384.780600 171:509.622500 175:335.485000 181:439.151250 187:491.906250 206:338.458750 245:1453.344200 249:2030.877500 251:314.365790 267:1472.248100 269:245.837500 286:2615.923800 304:237.203750 306:194.137500 326:251.254690 353:197.754550 357:2276.390000 384:1240.985000 415:468.495000 485:498.781250 506:404.312500 511:200.376560 516:677.105950 566:238.433750 653:146.393750 661:442.485000 684:84.927500 798:689.727500 806:229.858750 822:452.806250 839:1942.572500 1272:168.947620 1325:143.283750 1378:421.166250 1387:396.180000 1411:367.593750 1727:393.322730 1791:1150.291200 
-1 1:7126.598800 3:3705.553700 4:6594.514300 5:2460.904800 6:3775.682100 7:2621.418800 8:2047.281200 9:6411.267500 10:3857.119000 11:1496.406300 12:1604.261500 13:1489.905000 14:1364.170000 15:2093.501200 16:3048.079200 17:1324.541300 18:1452.915000 19:2003.483800 20:2217.340000 21:3247.138800 22:3275.566300 23:3186.057500 25:1557.737500 26:3116.195200 28:1644.276300 30:2218.742500 32:1298.092500 33:2604.635000 34:1743.822500 35:1068.418800 36:1901.381200 38:1746.843800 39:1033.707900 40:1033.707900 41:1033.707900 42:1033.707900 43:1501.821300 44:1989.628800 47:1794.553700 55:1576.300000 59:372.375000 66:737.707500 70:797.252500 87:734.782140 95:471.928750 96:940.139290 100:1409.582500 101:713.617500 104:1925.727500 106:1521.370000 110:1158.376300 111:1030.513800 113:1213.610000 115:674.532140 118:708.613750 119:1363.110000 120:1070.542900 143:336.242500 145:439.663750 159:407.528570 164:742.973750 165:937.098210 167:1582.813900 171:241.331250 175:711.217500 181:392.266250 187:615.607500 206:694.562500 245:214.582690 249:228.286250 251:682.309210 267:199.051920 269:287.643750 286:1129.462500 304:825.168750 306:1325.078800 326:619.062500 353:349.222730 357:1302.243800 384:1843.537500 415:153.526250 485:272.678750 506:627.168750 511:59.343750 516:400.998810 566:400.541250 653:157.191250 661:1703.138800 684:1002.075000 798:750.770000 806:137.902500 822:143.923750 839:495.198750 1272:234.633330 1325:1310.698800 1378:630.796250 1387:203.580000 1411:170.613750 1727:1257.970500 1791:794.450000 
1 1:4028.710000 3:2870.255000 4:4417.591100 5:1854.106000 6:2828.303600 7:1427.526200 8:3390.706200 9:4373.043800 10:3080.451200 11:5784.121200 12:2222.207700 13:2502.810000 14:3616.246200 15:1673.226200 16:4623.079200 17:1871.760000 18:3154.828700 19:1624.411200 20:1150.885000 21:1309.183800 22:3015.638800 23:1206.187500 25:2641.150000 26:1752.553600 28:2560.442500 30:3926.417500 32:786.101250 33:1077.687500 34:1956.643800 35:987.243750 36:749.750000 38:1215.652500 39:2276.834200 40:2276.834200 41:2276.834200 42:2276.834200 43:884.362500 44:2627.187500 47:1353.590000 55:954.833330 59:914.487500 66:1074.212500 70:765.660000 87:690.092860 95:544.300000 96:639.478570 100:259.465000 101:491.560000 104:2454.497500 106:799.990000 110:761.725000 111:1827.596200 113:1051.656200 115:571.880950 118:717.927500 119:1267.702500 120:500.903570 143:3044.335000 145:704.327500 159:1024.203600 164:797.336250 165:1059.446400 167:1579.708300 171:787.673750 175:500.407500 181:167.833750 187:555.501250 206:767.575000 245:1849.617300 249:3886.992500 251:559.272370 267:1731.359600 269:408.075000 286:1050.722500 304:303.312500 306:282.456250 326:170.014060 353:225.579550 357:1402.040000 384:1094.328800 415:936.816250 485:373.397500 506:1903.962500 511:240.912500 516:2064.708300 566:341.558750 653:316.345000 661:635.090000 684:707.375000 798:1097.258800 806:399.997500 822:1253.543800 839:574.997500 1272:158.192860 1325:43.846250 1378:300.710000 1387:772.851250 1411:248.947500 1727:690.009090 1791:3117.500000 
-1 1:9330.678700 3:4723.782500 4:9491.533900 5:5346.541700 6:1557.142900 7:1969.080000 8:2295.402500 9:6880.346200 10:6162.892900 11:7927.652500 12:2022.673100 13:1427.512500 14:3334.285000 15:5329.664300 16:1547.216700 17:4694.580000 18:2193.693800 19:1077.535000 20:1433.410000 21:4611.555000 22:9533.935000 23:4302.453700 25:2199.540600 26:6264.492900 28:3597.075000 30:3315.998800 32:3309.942500 33:6966.781300 34:3493.021200 35:478.958750 36:2721.450000 38:2497.811200 39:1448.590000 40:1448.590000 41:1448.590000 42:1448.590000 43:4384.520000 44:3108.393800 47:6000.077500 55:2186.515500 59:1335.975000 66:778.605000 70:2418.352500 87:1088.164300 95:1900.503800 96:2511.559500 100:829.931250 101:1379.860000 104:4142.987500 106:1750.970000 110:3161.742500 111:1685.795000 113:1659.710000 115:1264.501200 118:2661.781200 119:1595.587500 120:407.582140 143:355.335000 145:581.933750 159:2767.450000 164:2200.055000 165:2804.951800 167:719.077780 171:1597.881200 175:1676.720000 181:1236.918800 187:1965.471200 206:1150.621200 245:503.651920 249:404.318750 251:674.514470 267:519.253850 269:1740.723800 286:417.686250 304:872.092500 306:1868.157500 326:205.217190 353:706.363640 357:417.047500 384:6406.692500 415:404.172500 485:576.656250 506:779.022500 511:187.946870 516:1712.860700 566:236.681250 653:1206.331300 661:1282.281200 684:403.898750 798:2322.877500 806:95.201250 822:418.680000 839:837.960000 1272:203.544050 1325:1474.045000 1378:269.923750 1387:20.388750 1411:73.822500 1727:812.956820 1791:1407.426200 
1 1:5271.517500 3:3318.513700 4:6792.348200 5:2632.889300 6:5449.207100 7:4623.212500 8:3277.403800 9:4488.060000 10:3343.810700 11:3830.425000 12:3046.946200 13:8878.308800 14:5729.321200 15:2763.322600 16:5865.658300 17:1828.066200 18:3078.743700 19:3741.370000 20:4443.520000 21:2707.755000 22:5904.602500 23:1806.138700 25:2910.128100 26:1769.333300 28:2578.582500 30:2830.048800 32:2423.366200 33:1488.017500 34:1670.862500 35:2562.083800 36:998.768750 38:807.950000 39:2444.330800 40:2444.330800 41:2444.330800 42:2444.330800 43:1562.018700 44:3374.022500 47:1910.427500 55:1339.400000 59:989.729170 66:2492.097500 70:955.667500 87:1061.110700 95:1148.588700 96:1305.917900 100:1486.185000 101:1016.718700 104:3530.367500 106:1138.777500 110:1403.192500 111:2878.948800 113:1922.100000 115:1062.313100 118:1015.400000 119:6225.421200 120:1384.721400 143:543.065000 145:1969.333800 159:1341.400000 164:924.432500 165:892.737500 167:2476.100000 171:767.200000 175:792.718750 181:848.575000 187:760.650000 206:736.155000 245:2510.984600 249:4322.878800 251:598.694740 267:2551.828800 269:578.773750 286:4285.165000 304:716.231250 306:6104.458700 326:1035.428100 353:380.604550 357:2290.258800 384:1539.438800 415:1840.316300 485:1661.735000 506:1114.960000 511:525.317190 516:1290.107100 566:1864.031300 653:268.986250 661:664.791250 684:1167.590000 798:1395.357500 806:542.783750 822:1770.675000 839:2700.421300 1272:460.923810 1325:628.382500 1378:2519.726200 1387:1826.777500 1411:1106.536200 1727:1763.788600 1791:2246.962500 
