-1 1:8589.416300 2:5468.240900 3:4263.407500 4:4064.935700 5:1997.892900 6:5282.325000 7:2169.720000 8:2773.421200 9:7526.386200 10:4607.676200 11:2598.060000 12:1522.646200 13:1300.598800 14:1181.630000 15:2417.958300 16:3139.400000 18:1306.903800 19:1285.602500 20:1900.361300 22:2428.052500 23:5150.013700 24:3855.840000 25:1806.475000 27:872.014290 28:1135.823800 32:1582.035000 33:2854.987500 34:2513.335000 35:930.071250 38:2018.355000 39:2065.594600 40:2065.594600 41:2065.594600 42:2065.594600 43:1926.396200 44:2701.363700 46:2523.033800 47:1703.055000 52:2344.610300 53:2344.610300 57:728.458750 59:3684.620800 67:892.731250 70:622.895000 74:742.991250 88:499.847500 99:335.236250 102:1710.583700 110:1115.541300 113:611.890000 115:389.996430 118:366.685000 119:2236.788800 120:758.410710 132:328.540380 143:492.102500 145:686.673750 154:553.107500 155:413.522500 159:811.610710 164:397.515000 165:942.737500 167:3125.161100 175:977.555000 178:1004.347500 181:711.368750 187:747.508750 201:687.494050 206:1060.013800 245:475.278850 249:552.658750 250:403.317860 251:672.084210 267:471.167310 304:387.793750 306:2294.936200 341:973.533750 357:2422.342500 485:862.616250 511:1050.687500 516:599.666670 653:307.523750 765:389.765000 806:199.827500 822:560.583750 839:312.898750 878:2740.430000 988:457.285000 993:273.305000 1144:857.475000 1272:194.665480 1325:662.065000 1378:392.973750 1387:838.337500 1411:182.662500 1470:462.217500 1550:75.732500 1727:1253.325000 1791:1041.230000 1976:88.444444
1 1:9164.253700 2:6719.529500 3:4883.448700 4:3718.158900 5:2015.221400 6:5569.907100 7:3849.058800 8:2793.387500 9:7017.733800 10:4802.252400 11:1672.975000 12:1792.176900 13:3792.542500 14:3630.382500 15:1906.213100 16:5745.395800 18:2036.283800 19:2253.362500 20:2490.873700 22:4268.918700 23:4166.191200 24:4286.690000 25:2699.284400 27:1015.914300 28:1459.102500 32:3218.321200 33:3855.533800 34:3097.453800 35:1667.542500 38:2430.878800 39:2814.280100 40:2814.280100 41:2814.280100 42:2814.280100 43:1288.305000 44:4866.308800 46:2609.955000 47:1573.866200 52:1559.279700 53:1559.279700 57:1451.447500 59:3002.400000 67:1671.582500 70:2439.477500 74:678.055000 88:682.415000 99:1371.035000 102:2038.148800 110:1449.740000 113:1333.730000 115:1182.106000 118:664.606250 119:1398.866200 120:1599.650000 132:489.730770 143:410.138750 145:1842.506200 154:874.992500 155:1441.017500 159:2218.110700 164:693.290000 165:1392.046400 167:1733.361100 175:977.143750 178:718.586250 181:1650.222500 187:627.650000 201:3564.898800 206:1014.413800 245:1648.459600 249:2314.948800 250:1049.423800 251:676.609210 267:1712.209600 304:705.411250 306:837.208750 341:1250.110000 357:1080.970000 485:2135.035000 511:982.015620 516:233.522620 653:886.798750 765:1779.987500 806:883.182500 822:4421.815000 839:1324.483800 878:708.423750 988:597.705000 993:1965.877500 1144:1440.072500 1272:470.480950 1325:755.996250 1378:1159.112500 1387:2367.350000 1411:1095.132500 1470:605.658750 1550:114.711250 1727:1681.409100 1791:3623.010000 1976:86.036111
-1 1:3825.705000 2:6970.361400 3:5369.968800 4:4705.650000 5:1166.553600 6:1572.167900 7:1325.402500 8:1472.258700 9:3296.951200 10:2786.582100 11:2441.418800 12:1487.671200 13:1315.853800 14:855.455000 15:802.304760 16:3251.108300 18:1618.650000 19:1066.838700 20:1006.211200 22:658.878750 23:1924.791300 24:2080.661200 25:1155.943800 27:853.442860 28:734.528750 32:807.393750 33:2138.872500 34:1734.115000 35:905.620000 38:1880.187500 39:1389.630300 40:1389.630300 41:1389.630300 42:1389.630300 43:535.726250 44:2106.655000 46:1327.906300 47:685.003750 52:1109.334000 53:1109.334000 57:725.453750 59:565.650000 67:283.301250 70:869.957500 74:465.265000 88:328.076250 99:254.833750 102:766.371250 110:1285.716200 113:338.361250 115:223.189290 118:774.602500 119:9984.598700 120:2008.800000 132:463.059620 143:1660.736200 145:154.365000 154:372.238750 155:293.008750 159:601.492860 164:850.106250 165:140.933930 167:8848.480600 175:783.718750 178:383.021250 181:375.985000 187:326.656250 201:295.771430 206:1032.906200 245:209.219230 249:137.971250 250:933.173810 251:103.271050 267:196.436540 304:170.531250 306:18156.735000 341:986.472500 357:10119.091000 485:89.375000 511:314.975000 516:129.004760 653:448.788750 765:164.732500 806:772.362500 822:442.392500 839:35.291250 878:17567.846000 988:99.505000 993:673.955000 1144:51.263750 1272:476.350000 1325:59.576250 1378:16.913750 1387:67.476250 1411:89.630000 1470:18.577500 1550:95.175000 1727:364.884090 1791:1112.505000 1976:122.413890
1 1:6246.448700 2:7823.534100 3:5955.835000 4:3975.564300 5:2002.613100 6:2130.542900 7:1531.142500 8:1714.631200 9:3869.785000 10:4989.407100 11:1723.580000 12:1298.725000 13:1309.347500 14:1789.670000 15:1587.791700 16:3496.145800 18:1597.281200 19:1144.691200 20:1139.627500 22:2636.156200 23:3134.747500 24:4244.070000 25:1186.893800 27:792.214290 28:1133.237500 32:3034.571200 33:4699.395000 34:3312.481200 35:854.428750 38:3124.248700 39:2456.093100 40:2456.093100 41:2456.093100 42:2456.093100 43:901.290000 44:4344.305000 46:2171.237500 47:1425.287500 52:1651.349800 53:1651.349800 57:1225.801200 59:1092.154200 67:516.010000 70:1866.065000 74:397.658750 88:402.625000 99:434.710000 102:1526.110000 110:1635.041200 113:483.052500 115:259.789290 118:373.880000 119:8535.355000 120:1282.757100 132:458.930770 143:495.843750 145:475.793750 154:376.247500 155:363.481250 159:672.671430 164:375.185000 165:383.187500 167:5932.872200 175:1007.008700 178:786.167500 181:826.182500 187:388.571250 201:1124.521400 206:634.916250 245:576.640380 249:987.798750 250:751.378570 251:252.734210 267:597.738460 304:302.510000 306:2546.415000 341:953.865000 357:5894.030000 485:100.457500 511:549.710940 516:123.744050 653:705.191250 765:723.401250 806:355.811250 822:1325.392500 839:979.727500 878:1959.895000 988:394.615000 993:433.886250 1144:626.328750 1272:452.727380 1325:416.488750 1378:330.473750 1387:553.720000 1411:20.901250 1470:407.903750 1550:48.063750 1727:557.945450 1791:1846.448800 1976:140.830560
-1 1:3230.328700 2:3694.450000 3:3400.740000 4:3463.585700 5:2181.420200 6:2922.782100 7:2069.246300 8:2948.575000 9:3303.371200 10:3109.413100 11:2724.266200 12:2557.784600 13:3164.696200 14:2285.308800 15:2576.748800 16:3056.725000 18:2162.553700 19:1540.250000 20:2705.675000 22:4439.891300 23:2030.673800 24:2249.818800 25:2150.121900 27:1563.989300 28:1903.582500 32:1073.410000 33:1207.416200 34:1201.768700 35:1733.823800 38:719.452500 39:967.357620 40:967.357620 41:967.357620 42:967.357620 43:2451.591200 44:1477.365000 46:643.602500 47:1900.930000 52:1293.483300 53:1293.483300 57:1247.143800 59:399.983330 67:805.652500 70:639.392500 74:863.337500 88:768.938750 99:688.608750 102:443.831250 110:1004.802500 113:1269.738800 115:392.021430 118:686.121250 119:3118.787500 120:843.817860 132:484.498080 143:290.511250 145:960.845000 154:750.365000 155:926.943750 159:1439.628600 164:746.410000 165:1101.726800 167:2598.066700 175:434.328750 178:301.928750 181:445.191250 187:2973.810000 201:395.398810 206:442.803750 245:464.309620 249:584.732500 250:315.735710 251:1206.517100 267:434.200000 304:305.965000 306:2813.905000 341:552.360000 357:2740.046200 485:647.487500 511:233.331250 516:719.377380 653:489.096250 765:361.312500 806:153.030000 822:340.535000 839:1183.381200 878:2297.536200 988:59.787500 993:274.911250 1144:289.063750 1272:157.285710 1325:340.588750 1378:1012.135000 1387:132.505000 1411:126.880000 1470:1703.997500 1550:398.965000 1727:1434.904500 1791:848.931250 1976:52.741667
1 1:2510.325000 2:1960.654500 3:1566.315000 4:3072.816100 5:1810.204800 6:1673.564300 7:1290.421200 8:2465.846200 9:1675.543800 10:1312.808300 11:2289.035000 12:2162.286500 13:2070.077500 14:3466.791200 15:2137.417900 16:2716.379200 18:1586.243800 19:962.010000 20:1214.767500 22:3970.422500 23:906.596250 24:1313.058800 25:1950.390600 27:1254.515500 28:1639.147500 32:916.712500 33:576.783750 34:745.340000 35:994.612500 38:422.656250 39:1374.155400 40:1374.155400 41:1374.155400 42:1374.155400 43:1022.653800 44:1754.693800 46:602.056250 47:1497.585000 52:729.783740 53:729.783740 57:1052.130000 59:500.475000 67:683.025000 70:480.447500 74:777.833750 88:356.062500 99:411.956250 102:273.041250 110:724.753750 113:878.496250 115:457.169050 118:749.961250 119:2331.927500 120:593.278570 132:300.801920 143:614.782500 145:604.200000 154:804.937500 155:559.157500 159:804.725000 164:640.848750 165:704.314290 167:2384.780600 175:335.485000 178:196.501250 181:439.151250 187:491.906250 201:713.804760 206:338.458750 245:1453.344200 249:2030.877500 250:219.507140 251:314.365790 267:1472.248100 304:237.203750 306:194.137500 341:349.105000 357:2276.390000 485:498.781250 511:200.376560 516:677.105950 653:146.393750 765:1386.822500 806:229.858750 822:452.806250 839:1942.572500 878:116.550000 988:92.316250 993:414.467500 1144:364.672500 1272:168.947620 1325:143.283750 1378:421.166250 1387:396.180000 1411:367.593750 1470:612.468750 1550:42.845000 1727:393.322730 1791:1150.291200 1976:41.211111
-1 1:7126.598800 2:3779.068200 3:3705.553700 4:6594.514300 5:2460.904800 6:3775.682100 7:2621.418800 8:2047.281200 9:6411.267500 10:3857.119000 11:1496.406300 12:1604.261500 13:1489.905000 14:1364.170000 15:2093.501200 16:3048.079200 18:1452.915000 19:2003.483800 20:2217.340000 22:3275.566300 23:3186.057500 24:1905.643800 25:1557.737500 27:925.720240 28:1644.276300 32:1298.092500 33:2604.635000 34:1743.822500 35:1068.418800 38:1746.843800 39:1033.707900 40:1033.707900 41:1033.707900 42:1033.707900 43:1501.821300 44:1989.628800 46:2318.413800 47:1794.553700 52:1715.905900 53:1715.905900 57:1612.267500 59:372.375000 67:472.973750 70:797.252500 74:533.540000 88:945.721250 99:531.496250 102:1642.388700 110:1158.376300 113:1213.610000 115:674.532140 118:708.613750 119:1363.110000 120:1070.542900 132:395.736540 143:336.242500 145:439.663750 154:438.130000 155:585.518750 159:407.528570 164:742.973750 165:937.098210 167:1582.813900 175:711.217500 178:809.275000 181:392.266250 187:615.607500 201:296.234520 206:694.562500 245:214.582690 249:228.286250 250:282.671430 251:682.309210 267:199.051920 304:825.168750 306:1325.078800 341:408.970000 357:1302.243800 485:272.678750 511:59.343750 516:400.998810 653:157.191250 765:154.055000 806:137.902500 822:143.923750 839:495.198750 878:1635.781300 988:373.695000 993:225.836250 1144:602.306250 1272:234.633330 1325:1310.698800 1378:630.796250 1387:203.580000 1411:170.613750 1470:293.583750 1550:113.216250 1727:1257.970500 1791:794.450000 1976:197.258330
1 1:4028.710000 2:3156.159100 3:2870.255000 4:4417.591100 5:1854.106000 6:2828.303600 7:1427.526200 8:3390.706200 9:4373.043800 10:3080.451200 11:5784.121200 12:2222.207700 13:2502.810000 14:3616.246200 15:1673.226200 16:4623.079200 18:3154.828700 19:1624.411200 20:1150.885000 22:3015.638800 23:1206.187500 24:1640.315000 25:2641.150000 27:1531.528600 28:2560.442500 32:786.101250 33:1077.687500 34:1956.643800 35:987.243750 38:1215.652500 39:2276.834200 40:2276.834200 41:2276.834200 42:2276.834200 43:884.362500 44:2627.187500 46:872.393750 47:1353.590000 52:1981.641200 53:1981.641200 57:1167.771200 59:914.487500 67:1294.212500 70:765.660000 74:801.415000 88:227.898750 99:709.718750 102:425.936250 110:761.725000 113:1051.656200 115:571.880950 118:717.927500 119:1267.702500 120:500.903570 132:377.507690 143:3044.335000 145:704.327500 154:987.866250 155:618.003750 159:1024.203600 164:797.336250 165:1059.446400 167:1579.708300 175:500.407500 178:799.835000 181:167.833750 187:555.501250 201:800.840480 206:767.575000 245:1849.617300 249:3886.992500 250:458.188100 251:559.272370 267:1731.359600 304:303.312500 306:282.456250 341:401.937500 357:1402.040000 485:373.397500 511:240.912500 516:2064.708300 653:316.345000 765:1781.317500 806:399.997500 822:1253.543800 839:574.997500 878:182.302500 988:443.640000 993:384.276250 1144:629.577500 1272:158.192860 1325:43.846250 1378:300.710000 1387:772.851250 1411:248.947500 1470:50.867500 1550:45.097500 1727:690.009090 1791:3117.500000 1976:73.486111
-1 1:9330.678700 2:7017.229500 3:4723.782500 4:9491.533900 5:5346.541700 6:1557.142900 7:1969.080000 8:2295.402500 9:6880.346200 10:6162.892900 11:7927.652500 12:2022.673100 13:1427.512500 14:3334.285000 15:5329.664300 16:1547.216700 18:2193.693800 19:1077.535000 20:1433.410000 22:9533.935000 23:4302.453700 24:10721.298000 25:2199.540600 27:1278.026200 28:3597.075000 32:3309.942500 33:6966.781300 34:3493.021200 35:478.958750 38:2497.811200 39:1448.590000 40:1448.590000 41:1448.590000 42:1448.590000 43:4384.520000 44:3108.393800 46:3871.451200 47:6000.077500 52:1787.596200 53:1787.596200 57:2055.881200 59:1335.975000 67:544.758750 70:2418.352500 74:882.992500 88:750.550000 99:333.686250 102:1962.527500 110:3161.742500 113:1659.710000 115:1264.501200 118:2661.781200 119:1595.587500 120:407.582140 132:637.798080 143:355.335000 145:581.933750 154:1300.317500 155:331.220000 159:2767.450000 164:2200.055000 165:2804.951800 167:719.077780 175:1676.720000 178:1468.511200 181:1236.918800 187:1965.471200 201:452.015480 206:1150.621200 245:503.651920 249:404.318750 250:699.125000 251:674.514470 267:519.253850 304:872.092500 306:1868.157500 341:1755.855000 357:417.047500 485:576.656250 511:187.946870 516:1712.860700 653:1206.331300 765:380.597500 806:95.201250 822:418.680000 839:837.960000 878:1457.402500 988:721.800000 993:195.390000 1144:1414.705000 1272:203.544050 1325:1474.045000 1378:269.923750 1387:20.388750 1411:73.822500 1470:2097.817500 1550:126.577500 1727:812.956820 1791:1407.426200 1976:92.908333
1 1:5271.517500 2:4740.768200 3:3318.513700 4:6792.348200 5:2632.889300 6:5449.207100 7:4623.212500 8:3277.403800 9:4488.060000 10:3343.810700 11:3830.425000 12:3046.946200 13:8878.308800 14:5729.321200 15:2763.322600 16:5865.658300 18:3078.743700 19:3741.370000 20:4443.520000 22:5904.602500 23:1806.138700 24:3337.096200 25:2910.128100 27:1837.276200 28:2578.582500 32:2423.366200 33:1488.017500 34:1670.862500 35:2562.083800 38:807.950000 39:2444.330800 40:2444.330800 41:2444.330800 42:2444.330800 43:1562.018700 44:3374.022500 46:1395.876200 47:1910.427500 52:1475.995000 53:1475.995000 57:1827.006200 59:989.729170 67:2979.392500 70:955.667500 74:1080.128800 88:1220.723700 99:2034.796200 102:694.945000 110:1403.192500 113:1922.100000 115:1062.313100 118:1015.400000 119:6225.421200 120:1384.721400 132:650.309620 143:543.065000 145:1969.333800 154:1106.485000 155:1876.738700 159:1341.400000 164:924.432500 165:892.737500 167:2476.100000 175:792.718750 178:616.570000 181:848.575000 187:760.650000 201:1454.514300 206:736.155000 245:2510.984600 249:4322.878800 250:618.532140 251:598.694740 267:2551.828800 304:716.231250 306:6104.458700 341:492.463750 357:2290.258800 485:1661.735000 511:525.317190 516:1290.107100 653:268.986250 765:2514.767500 806:542.783750 822:1770.675000 839:2700.421300 878:4968.327500 988:479.886250 993:522.967500 1144:938.390000 1272:460.923810 1325:628.382500 1378:2519.726200 1387:1826.777500 1411:1106.536200 1470:848.063750 1550:190.498750 1727:1763.788600 1791:2246.962500 1976:97.827778
