1 1:1.000000 2:0.000000 3:0.995390 4:-0.058890 5:0.852430 6:0.023060 7:0.833980 8:-0.377080 9:1.000000 10:0.037600 11:0.852430 12:-0.177550 14:-0.449450 17:0.843560 18:-0.385420 19:0.582120 20:-0.321920 21:0.569710 22:-0.296740 23:0.369460 24:-0.473570 25:0.568110 26:-0.511710 28:-0.461680 29:0.212660 30:-0.340900 31:0.422670 32:-0.544870 33:0.186410 34:-0.453000 
-1 1:1.000000 2:0.000000 3:1.000000 4:-0.188290 5:0.930350 6:-0.361560 7:-0.108680 8:-0.935970 9:1.000000 10:-0.045490 11:0.508740 12:-0.677430 14:-0.697070 17:0.054990 18:-0.622370 19:0.331090 20:-1.000000 21:-0.131510 22:-0.453000 23:-0.180560 24:-0.357340 25:-0.203320 26:-0.265690 28:-0.184010 29:-0.190400 30:-0.115930 31:-0.166260 32:-0.062880 33:-0.137380 34:-0.024470 
1 1:1.000000 2:0.000000 3:1.000000 4:-0.033650 5:1.000000 6:0.004850 7:1.000000 8:-0.120620 9:0.889650 10:0.011980 11:0.730820 12:0.053460 14:0.008270 17:0.837750 18:-0.136440 19:0.755350 20:-0.085400 21:0.708870 22:-0.275020 23:0.433850 24:-0.120620 25:0.575280 26:-0.402200 28:-0.221450 29:0.431000 30:-0.173650 31:0.604360 32:-0.241800 33:0.560450 34:-0.382380 
-1 1:1.000000 2:0.000000 3:1.000000 4:-0.451610 5:1.000000 6:1.000000 7:0.712160 8:-1.000000 9:0.000000 10:0.000000 11:0.000000 12:0.000000 14:0.000000 17:0.540940 18:-0.393300 19:-1.000000 20:-0.544670 21:-0.699750 22:1.000000 23:0.000000 24:0.000000 25:1.000000 26:0.906950 28:1.000000 29:1.000000 30:-0.200990 31:0.256820 32:1.000000 33:-0.323820 34:1.000000 
1 1:1.000000 2:0.000000 3:1.000000 4:-0.024010 5:0.941400 6:0.065310 7:0.921060 8:-0.232550 9:0.771520 10:-0.163990 11:0.527980 12:-0.202750 14:-0.007120 17:0.529400 18:-0.217800 19:0.451070 20:-0.178130 21:0.059820 22:-0.355750 23:0.023090 24:-0.528790 25:0.032860 26:-0.651580 28:-0.532060 29:0.024310 30:-0.621970 31:-0.057070 32:-0.595730 33:-0.046080 34:-0.656970 
-1 1:1.000000 2:0.000000 3:0.023370 4:-0.005920 5:-0.099240 6:-0.119490 7:-0.007630 8:-0.118240 9:0.147060 10:0.066370 11:0.037860 12:-0.063020 14:0.000000 17:-0.003430 18:-0.101960 19:-0.115750 20:-0.054140 21:0.018380 22:0.036690 23:0.015190 24:0.008880 25:0.035130 26:-0.015350 28:0.092230 29:-0.078590 30:0.007320 31:0.000000 32:0.000000 33:-0.000390 34:0.120110 
1 1:1.000000 2:0.000000 3:0.975880 4:-0.106020 5:0.946010 6:-0.208000 7:0.928060 8:-0.283500 9:0.859960 10:-0.273420 11:0.797660 12:-0.479290 14:-0.507640 17:0.579450 18:-0.680860 19:0.378520 20:-0.736410 21:0.363240 22:-0.765620 23:0.318980 24:-0.797530 25:0.227920 26:-0.816340 28:-0.825100 29:0.046060 30:-0.823950 31:-0.042620 32:-0.813180 33:-0.138320 34:-0.809750 
-1 1:0.000000 2:0.000000 3:0.000000 4:0.000000 5:0.000000 6:0.000000 7:1.000000 8:-1.000000 9:0.000000 10:0.000000 11:-1.000000 12:-1.000000 14:0.000000 17:1.000000 18:1.000000 19:-1.000000 20:-1.000000 21:0.000000 22:0.000000 23:0.000000 24:0.000000 25:1.000000 26:1.000000 28:1.000000 29:0.000000 30:0.000000 31:1.000000 32:1.000000 33:0.000000 34:0.000000 
1 1:1.000000 2:0.000000 3:0.963550 4:-0.071980 5:1.000000 6:-0.143330 7:1.000000 8:-0.213130 9:1.000000 10:-0.361740 11:0.925700 12:-0.435690 14:-0.406680 17:0.983050 18:-0.352570 19:0.845370 20:-0.660200 21:0.753460 22:-0.605890 23:0.696370 24:-0.642250 25:0.851060 26:-0.654400 28:-0.697120 29:0.254350 30:-0.639190 31:0.451140 32:-0.727790 33:0.388950 34:-0.734200 
-1 1:1.000000 2:0.000000 3:-0.018640 4:-0.084590 5:0.000000 6:0.000000 7:0.000000 8:0.000000 9:0.114700 10:-0.268100 11:-0.456630 12:-0.381720 14:0.000000 17:-0.371330 18:0.150180 19:0.637280 20:0.221150 21:0.000000 22:0.000000 23:0.000000 24:0.000000 25:-0.148030 26:-0.013260 28:-0.022940 29:0.000000 30:0.000000 31:0.165950 32:0.240860 33:-0.082080 34:0.380650 
